start time,end time,start x,start y,start z,start e,end x,end y,end z,end e,joint one start,joint one stop,joint two start,joint two stop,joint three start,joint three stop,joint four start,joint four stop,joint five start,joint five stop,joint six start,joint six stop
1536075238,1536075260,20.7887,13.9917,6.0658,0.00350338,20.7887,13.9917,6.0658,0.00350338,2434,2434,2629,2629,616,616,1195,1195,2048,2048,2470,1701,
1536075260,1536075271,20.7887,13.9917,6.0658,0.00350338,18.7381,12.6534,13.8304,0.324265,2434,2435,2629,2842,616,613,1195,1196,2048,2048,1701,1701,
1536075271,1536075337,18.7381,12.6534,13.8304,0.324265,17.1258,0.841746,12.164,0.0253874,2435,2080,2842,3174,613,437,1196,1547,2048,2048,1701,1701,
1536075337,1536075353,17.1258,0.841746,12.164,0.0253874,17.1148,0.893875,12.1141,0.0223194,2080,2082,3174,3174,437,436,1547,1548,2048,2048,1701,2510,
1536075474,1536075485,17.1161,0.867607,12.1141,0.0223194,17.1161,0.867607,12.1141,0.0223194,2081,2081,3174,3174,436,436,1548,1548,2048,2048,2510,2510,
1536075485,1536075600,17.1161,0.867607,12.1141,0.0223194,21.8243,-4.76033,20.2924,-0.000914186,2081,1908,3174,3042,436,1220,1548,2215,2048,2048,2510,2510,
1536075600,1536075622,21.8243,-4.76033,20.2924,-0.000914186,23.8083,-5.11662,20.6042,-0.00255242,1908,1910,3042,2949,1220,1358,2215,2261,2048,2048,2510,2510,
1536075622,1536075644,23.8083,-5.11662,20.6042,-0.00255242,22.2697,-5.03671,20.6725,-0.000957698,1910,1903,2949,3016,1358,1278,2261,2247,2048,2048,2510,2510,
1536075928,1536075989,22.3158,-5.04715,20.6684,-0.000959128,17.1705,-0.131699,12.2262,-0.00221133,1903,2043,3014,3191,1280,467,2247,1612,2048,2048,2510,2510,
1536075989,1536076000,17.1705,-0.131699,12.2262,-0.00221133,17.1703,-0.158038,12.2262,-0.00221133,2043,2042,3191,3191,467,467,1612,1612,2048,2048,2510,2510,
1536076558,1536076569,17.1703,-0.158038,12.2262,-0.00221133,17.1703,-0.158038,12.2262,-0.00221133,2042,2042,3191,3191,467,467,1612,1612,2048,2048,2510,2510,
1536076569,1536076679,17.1703,-0.158038,12.2262,-0.00221133,21.8014,-4.82546,20.4701,0.00368246,2042,1906,3191,3041,467,1230,1612,2221,2048,2048,2510,2510,
1536076679,1536076706,21.8014,-4.82546,20.4701,0.00368246,23.7455,-5.10313,20.7048,0.000515491,1906,1910,3041,2951,1230,1360,2221,2263,2048,2048,2510,2510,
1536076706,1536076723,23.7455,-5.10313,20.7048,0.000515491,22.2117,-5.05944,20.7295,0.00211257,1910,1902,2951,3018,1360,1277,2263,2246,2048,2048,2510,2510,
1536076876,1536076936,22.2697,-5.03671,20.6725,-0.000957698,17.1532,-0.157881,12.2047,-0.00221133,1903,2042,3016,3191,1278,465,2247,1610,2048,2048,2510,2510,
1536076936,1536076947,17.1532,-0.157881,12.2047,-0.00221133,17.1618,-0.15796,12.2354,-0.000677347,2042,2042,3191,3191,465,466,1610,1610,2048,2048,2510,2510,
1536077210,1536077221,17.1618,-0.15796,12.2354,-0.000677347,17.1618,-0.15796,12.2354,-0.000677347,2042,2042,3191,3191,466,466,1610,1610,2048,2048,2510,2510,
1536077221,1536077330,17.1618,-0.15796,12.2354,-0.000677347,21.8815,-4.84319,20.3671,-0.000921756,2042,1906,3191,3038,466,1230,1610,2221,2048,2048,2510,2510,
