time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1234470180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844602,27,0,2437,2437,1,26,0,2654,2654,1,25,0,637,636,1,25,0,1295,1295,1,25,0,2048,2048,1,26,0,2470,2470,1,
1530844602,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1294,1,25,0,2048,2048,1,26,0,2470,2470,1,
1530844608,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1294,1,25,0,2048,2048,1,26,0,2470,2470,1,
1530844608,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1294,1,25,0,2048,2048,1,26,0,2470,2470,1,
1530844613,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1294,1,25,0,2048,2048,1,26,0,2470,2470,1,
1530844613,27,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,25,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844613,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844619,27,0,2437,2437,1,26,0,2654,2653,1,25,0,637,636,1,25,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844619,27,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,25,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844496,27,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,25,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844630,27,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844630,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844635,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844635,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844641,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844646,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,27,0,2470,2470,1,
1530844646,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,27,0,2470,2470,1,
1530844652,28,0,2437,2437,1,26,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,27,0,2470,2470,1,
1530844652,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,27,0,2470,2470,1,
1530844657,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,27,0,2470,2470,1,
1530844662,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,26,0,2048,2048,1,26,0,2470,2470,1,
1530844662,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844668,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844668,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844668,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844673,28,0,2437,2437,1,26,0,2654,2653,1,27,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,27,0,2470,2470,1,
1530844673,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
1530844679,28,0,2437,2437,1,27,0,2654,2653,1,26,0,637,636,1,26,0,1295,1295,1,27,0,2048,2048,1,28,0,2470,2470,1,
