time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
1234470183,0,0,0,0,0,0,87,35,
1234470185,0,0,0,0,0,0,87,34,
1234470185,0,0,0,0,0,0,87,34,
1234470185,0,0,0,0,0,0,87,34,
1234470185,0,0,0,0,0,0,87,34,
1530844591,0,0,0,0,0,0,87,34,
1530844602,0,0,0,0,0,0,87,34,
1530844602,0,0,0,0,0,0,87,34,
1530844607,0,0,0,0,0,0,87,34,
1530844607,0,0,0,0,0,0,87,34,
1530844613,0,0,0,0,0,0,87,34,
1530844618,0,0,0,0,0,0,87,34,
1530844618,0,0,0,0,0,0,87,34,
1530844618,0,0,0,0,0,0,86,35,
1530844618,0,0,0,0,0,0,86,35,
1530844624,0,0,0,0,0,0,87,34,
1530844501,0,0,0,0,0,0,87,33,
1530844501,0,0,0,0,0,0,87,33,
1530844635,0,0,0,0,0,0,87,34,
1530844635,0,0,0,0,0,0,87,34,
1530844640,0,0,0,0,0,0,87,33,
1530844646,0,0,0,0,0,0,87,33,
1530844646,0,0,0,0,0,0,87,33,
1530844651,0,0,0,0,0,0,87,33,
1530844651,0,0,0,0,0,0,87,33,
1530844657,0,0,0,0,0,0,87,33,
1530844662,0,0,0,0,0,0,87,34,
1530844662,0,0,0,0,0,0,87,34,
1530844667,0,0,0,0,0,0,87,35,
1530844667,0,0,0,0,0,0,87,35,
1530844673,0,0,0,0,0,0,87,34,
1530844673,0,0,0,0,0,0,87,34,
1530844673,0,0,0,0,0,0,87,34,
1530844678,0,0,0,0,0,0,87,34,
1530844678,0,0,0,0,0,0,87,34,
1530844684,0,0,0,0,0,0,87,33,
1530844689,0,0,0,0,0,0,87,35,
1530844689,0,0,0,0,0,0,87,35,
1530844695,0,0,0,0,0,0,87,34,
1530844695,0,0,0,0,0,0,87,34,
1530844700,0,0,0,0,0,0,87,34,
1530844706,0,0,0,0,0,0,87,34,
1530844706,0,0,0,0,0,0,87,34,
1530844711,0,0,0,0,0,0,87,32,
1530844711,0,0,0,0,0,0,87,32,
1530844717,0,0,0,0,0,0,87,34,
1530844722,0,0,0,0,0,0,87,34,
1530844722,0,0,0,0,0,0,87,34,
1530844728,0,0,0,0,0,0,87,34,
1530844728,0,0,0,0,0,0,87,34,
1530844733,0,0,0,0,0,0,87,33,
1530844733,0,0,0,0,0,0,87,35,
1530844733,0,0,0,0,0,0,87,35,
1530844739,0,0,0,0,0,0,87,33,
1530844739,0,0,0,0,0,0,87,33,
1530844744,0,0,0,0,0,0,87,33,
1530844749,0,0,0,0,0,0,87,34,
1530844749,0,0,0,0,0,0,87,34,
1530844755,0,0,0,0,0,0,87,33,
1530844755,0,0,0,0,0,0,87,33,
1530844760,0,0,0,0,0,0,87,35,
1530844766,0,0,0,0,0,0,87,34,
1530844766,0,0,0,0,0,0,87,34,
1530844771,0,0,0,0,0,0,87,34,
1530844771,0,0,0,0,0,0,87,34,
1530844777,0,0,0,0,0,0,87,34,
1530844782,0,0,0,0,0,0,87,33,
1530844782,0,0,0,0,0,0,87,33,
1530844788,0,0,0,0,0,0,87,33,
1530844788,0,0,0,0,0,0,87,33,
1530844793,0,0,0,0,0,0,87,33,
1530844793,0,0,0,0,0,0,87,34,
1530844793,0,0,0,0,0,0,87,34,
1539233407,0,0,0,0,0,0,87,34,
1539233407,0,0,0,0,0,0,87,34,
1530844804,0,0,0,0,0,0,87,34,
1530844810,0,0,0,0,0,0,87,34,
1530844810,0,0,0,0,0,0,87,34,
1530844815,0,0,0,0,0,0,87,33,
1530844815,0,0,0,0,0,0,87,33,
1530844821,0,0,0,0,0,0,87,34,
1530844826,0,0,0,0,0,0,87,34,
1530844826,0,0,0,0,0,0,87,34,
1530844831,0,0,0,0,0,0,87,33,
1530844831,0,0,0,0,0,0,87,33,
1530844837,0,0,0,0,0,0,87,34,
1530844842,0,0,0,0,0,0,87,33,
1530844842,0,0,0,0,0,0,87,33,
1530844848,0,0,0,0,0,0,87,34,
1530844848,0,0,0,0,0,0,87,34,
1530844848,0,0,0,0,0,0,87,33,
1530844853,0,0,0,0,0,0,87,35,
1530844853,0,0,0,0,0,0,87,35,
1530844859,0,0,0,0,0,0,87,34,
1530844859,0,0,0,0,0,0,87,34,
1530844864,0,0,0,0,0,0,87,34,
1530844870,0,0,0,0,0,0,87,33,
1530844870,0,0,0,0,0,0,87,33,
1530844875,0,0,0,0,0,0,87,33,
1530844875,0,0,0,0,0,0,87,33,
1530844881,0,0,0,0,0,0,87,34,
1530844886,0,0,0,0,0,0,87,34,
1530844886,0,0,0,0,0,0,87,34,
1530844764,0,0,0,0,0,0,87,33,
1530844764,0,0,0,0,0,0,87,33,
1530844897,0,0,0,0,0,0,87,33,
1530844903,0,0,0,0,0,0,87,33,
1530844903,0,0,0,0,0,0,87,33,
1530844908,0,0,0,0,0,0,87,33,
1530844908,0,0,0,0,0,0,87,33,
1530844908,0,0,0,0,0,0,87,34,
1530844914,0,0,0,0,0,0,87,34,
1530844914,0,0,0,0,0,0,87,34,
1530844919,0,0,0,0,0,0,87,34,
1530844919,0,0,0,0,0,0,87,34,
1530844924,0,0,0,0,0,0,87,34,
1530844930,0,0,0,0,0,0,87,34,
1530844930,0,0,0,0,0,0,87,34,
1530844935,0,0,0,0,0,0,87,34,
1530844935,0,0,0,0,0,0,87,34,
1530844941,0,0,0,0,0,0,87,33,
1530844946,0,0,0,0,0,0,87,33,
1530844946,0,0,0,0,0,0,87,33,
1530844952,0,0,0,0,0,0,87,34,
1530844952,0,0,0,0,0,0,87,34,
1530844957,0,0,0,0,0,0,87,33,
1530844957,0,0,0,0,0,0,87,34,
1530844957,0,0,0,0,0,0,87,34,
1530844968,0,0,0,0,0,0,87,34,
1530844968,0,0,0,0,0,0,87,34,
1530844968,0,0,0,0,0,0,87,34,
1530844974,0,0,0,0,0,0,87,34,
1530844974,0,0,0,0,0,0,87,34,
1530844979,0,0,0,0,0,0,87,33,
1530844979,0,0,0,0,0,0,87,33,
1530844985,0,0,0,0,0,0,87,34,
1530844985,0,0,0,0,0,0,87,34,
1530844985,0,0,0,0,0,0,87,34,
1530844996,0,0,0,0,0,0,87,35,
1530844996,0,0,0,0,0,0,87,35,
1530845001,0,0,0,0,0,0,87,33,
1530845006,0,0,0,0,0,0,87,33,
1530845006,0,0,0,0,0,0,87,33,
1530845012,0,0,0,0,0,0,87,33,
1530845012,0,0,0,0,0,0,87,33,
1530845017,0,0,0,0,0,0,87,34,
1530845023,0,0,0,0,0,0,87,34,
1530845023,0,0,0,0,0,0,87,34,
1530845028,0,0,0,0,0,0,87,34,
1530845028,0,0,0,0,0,0,87,34,
1530845028,0,0,0,0,0,0,87,33,
1530845034,0,0,0,0,0,0,87,33,
1530845034,0,0,0,0,0,0,87,33,
1530845039,0,0,0,0,0,0,87,34,
1530845039,0,0,0,0,0,0,87,34,
1530845045,0,0,0,0,0,0,87,34,
1530845050,0,0,0,0,0,0,87,33,
1530845050,0,0,0,0,0,0,87,33,
1530845050,0,0,0,0,0,0,87,33,
1530845050,0,0,0,0,0,0,87,33,
1530845061,0,0,0,0,0,0,87,34,
1530845067,0,0,0,0,0,0,87,33,
1530845067,0,0,0,0,0,0,87,33,
1530845072,0,0,0,0,0,0,87,33,
1530845072,0,0,0,0,0,0,87,33,
1530845078,0,0,0,0,0,0,87,34,
1530845083,0,0,0,0,0,0,87,34,
1530845083,0,0,0,0,0,0,87,34,
1530845083,0,0,0,0,0,0,87,34,
1530845083,0,0,0,0,0,0,87,34,
1530845088,0,0,0,0,0,0,87,34,
1530845094,0,0,0,0,0,0,87,35,
1530845094,0,0,0,0,0,0,87,35,
1530845099,0,0,0,0,0,0,87,33,
1530845099,0,0,0,0,0,0,87,33,
1530845105,0,0,0,0,0,0,87,34,
1530845110,0,0,0,0,0,0,87,34,
1530845110,0,0,0,0,0,0,87,34,
1530845116,0,0,0,0,0,0,87,33,
1530845116,0,0,0,0,0,0,87,33,
1530845121,0,0,0,0,0,0,87,34,
1530845127,0,0,0,0,0,0,87,33,
1530845127,0,0,0,0,0,0,87,33,
1530845132,0,0,0,0,0,0,87,33,
1530845132,0,0,0,0,0,0,87,33,
1530845138,0,0,0,0,0,0,87,33,
1530845143,1,0,0,0,0,0,87,34,
1530845143,1,0,0,0,0,0,87,34,
1530845143,1,0,0,0,0,0,87,33,
1530845143,1,0,0,0,0,0,87,33,
1530845149,1,0,0,0,0,0,87,34,
1530845154,1,0,0,0,0,0,87,34,
1530845154,1,0,0,0,0,0,87,34,
1530845160,1,0,0,0,0,0,87,33,
1530845160,1,0,0,0,0,0,87,33,
1530845165,1,0,0,0,0,0,87,33,
1530845170,1,0,0,0,0,0,87,33,
1530845170,1,0,0,0,0,0,87,33,
1530845176,1,0,0,0,0,0,87,34,
1530845176,1,0,0,0,0,0,87,34,
1530845181,1,0,0,0,0,0,87,34,
1530845181,1,0,0,0,0,0,87,34,
1530845188,1,0,0,0,0,0,87,34,
1530845188,1,0,0,0,0,0,87,34,
1530845193,1,0,0,0,0,0,87,33,
1530845193,1,0,0,0,0,0,87,33,
1530845199,1,0,0,0,0,0,87,34,
1530845199,1,0,0,0,0,0,87,34,
1530845204,1,0,0,0,0,0,87,34,
1530845204,1,0,0,0,0,0,87,34,
1530845209,1,0,0,0,0,0,87,34,
1530845209,1,0,0,0,0,0,87,34,
1530845214,1,0,0,0,0,0,87,33,
1530845214,1,0,0,0,0,0,87,33,
1530845220,1,0,0,0,0,0,87,35,
1530845220,1,0,0,0,0,0,87,35,
1530845225,1,0,0,0,0,0,87,33,
1530845225,1,0,0,0,0,0,87,33,
1530845236,1,0,0,0,0,0,87,33,
1530845236,1,0,0,0,0,0,87,33,
1530845242,1,0,0,0,0,0,87,34,
1530845242,1,0,0,0,0,0,87,34,
1530845247,1,0,0,0,0,0,87,33,
1530845247,1,0,0,0,0,0,87,33,
1530845252,1,0,0,0,0,0,87,32,
1530845252,1,0,0,0,0,0,87,32,
1539233866,1,0,0,0,0,0,87,34,
1539233866,1,0,0,0,0,0,87,34,
1530845263,1,0,0,0,0,0,87,33,
1530845263,1,0,0,0,0,0,87,33,
1530845269,1,0,0,0,0,0,87,33,
1530845269,1,0,0,0,0,0,87,33,
1530845274,1,0,0,0,0,0,87,33,
1530845274,1,0,0,0,0,0,87,33,
1530845280,1,0,0,0,0,0,87,34,
1530845280,1,0,0,0,0,0,87,34,
1530845291,1,0,0,0,0,0,87,33,
1530845291,1,0,0,0,0,0,87,33,
1530845291,1,0,0,0,0,0,87,33,
1530845291,1,0,0,0,0,0,87,33,
1530845296,1,0,0,0,0,0,87,33,
1530845296,1,0,0,0,0,0,87,33,
1530845307,1,0,0,0,0,0,87,34,
1530845307,1,0,0,0,0,0,87,34,
1530845313,1,0,0,0,0,0,26,33,
1530845313,1,0,0,0,0,0,26,33,
1530845318,1,0,0,0,0,0,34,34,
1530845318,1,0,0,0,0,0,34,34,
1530845324,1,0,0,0,0,0,34,34,
1530845324,1,0,0,0,0,0,34,34,
1530845329,0,0,0,0,0,0,34,34,
1530845329,0,0,0,0,0,0,34,34,
1530845334,0,0,0,0,0,0,34,33,
1530845334,0,0,0,0,0,0,34,33,
1530845340,0,0,0,0,0,0,34,34,
1530845340,0,0,0,0,0,0,34,34,
1530845351,0,0,0,0,0,0,34,32,
1530845351,0,0,0,0,0,0,34,32,
1530845356,0,0,0,0,0,0,34,34,
1530845356,0,0,0,0,0,0,34,34,
1530845362,0,0,0,0,0,0,34,34,
1530845362,0,0,0,0,0,0,34,34,
1530845367,0,0,0,0,0,0,34,33,
1530845367,0,0,0,0,0,0,34,33,
1530845373,0,0,0,0,0,0,34,34,
1530845373,0,0,0,0,0,0,34,34,
1530845378,0,0,0,0,0,0,34,34,
1530845378,0,0,0,0,0,0,34,34,
1530845384,0,0,0,0,0,0,34,34,
1530845384,0,0,0,0,0,0,34,34,
1539233997,0,0,0,0,0,0,34,33,
1539233997,0,0,0,0,0,0,34,33,
