time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1535753615,33,0,2437,2437,1,32,0,2635,2635,1,32,0,614,614,1,32,0,1204,1204,1,31,0,2048,2048,1,31,0,2470,2470,1,
1535753615,33,0,2437,2437,1,32,0,2635,2635,1,31,0,614,614,1,32,0,1204,1204,1,31,0,2048,2048,1,31,0,2470,2470,1,
1535753621,33,0,2437,2437,1,32,0,2635,2635,1,31,0,614,614,1,32,0,1204,1204,1,31,0,2048,2048,1,31,0,2470,2470,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844597,22,0,2434,2434,1,21,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
1530844597,23,0,2434,2434,1,22,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
1530844603,23,0,2434,2434,1,22,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
1530844603,23,0,2434,2434,1,22,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
1530844608,23,0,2434,2434,1,22,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
1530844608,23,0,2434,2434,1,22,0,2633,2632,1,22,0,615,616,1,22,0,1204,1204,1,22,0,2048,2048,1,22,0,2470,2470,1,
