time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
1535753615,0,0,0,0,0,0,39,32,
1535753615,0,0,0,0,0,0,39,32,
1535753620,0,0,0,0,0,0,39,33,
0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,39,34,
5,0,0,0,0,0,0,39,34,
5,0,0,0,0,0,0,39,34,
5,0,0,0,0,0,0,39,34,
1530844591,0,0,0,0,0,0,39,34,
1530844597,0,0,0,0,0,0,39,34,
1530844597,0,0,0,0,0,0,39,34,
1530844602,0,0,0,0,0,0,39,33,
1530844602,0,0,0,0,0,0,39,33,
1530844608,0,0,0,0,0,0,39,35,
1530844613,0,0,0,0,0,0,39,25,
1530844613,0,0,0,0,0,0,39,25,
1530844613,0,0,0,0,0,0,39,34,
1530844613,0,0,0,0,0,0,39,34,
1530844619,0,0,0,0,0,0,39,35,
1530844624,0,0,0,0,0,0,39,33,
1530844624,0,0,0,0,0,0,39,33,
1530844502,0,0,0,0,0,0,39,33,
1530844502,0,0,0,0,0,0,39,33,
1530844635,0,0,0,0,0,0,39,33,
1530844641,0,0,0,0,0,0,39,34,
1530844641,0,0,0,0,0,0,39,34,
1530844646,0,0,0,0,0,0,39,33,
1530844646,0,0,0,0,0,0,39,33,
1530844652,0,0,0,0,0,0,39,34,
1530844657,0,0,0,0,0,0,39,25,
1530844657,0,0,0,0,0,0,39,25,
1530844662,0,0,0,0,0,0,39,34,
1530844662,0,0,0,0,0,0,39,34,
1530844668,0,0,0,0,0,0,39,34,
1530844668,0,0,0,0,0,0,39,33,
1530844668,0,0,0,0,0,0,39,33,
1530844673,0,0,0,0,0,0,39,34,
1530844673,0,0,0,0,0,0,39,34,
1530844679,0,0,0,0,0,0,39,35,
1530844684,0,0,0,0,0,0,39,34,
1530844684,0,0,0,0,0,0,39,34,
1530844690,0,0,0,0,0,0,39,32,
1530844690,0,0,0,0,0,0,39,32,
1530844695,0,0,0,0,0,0,39,34,
1535793721,0,0,0,0,0,0,39,34,
1535793721,0,0,0,0,0,0,39,34,
1535793726,0,0,0,0,0,0,39,34,
1535793726,0,0,0,0,0,0,39,34,
1535793732,0,0,0,0,0,0,39,32,
1535793737,0,0,0,0,0,0,39,32,
1535793737,0,0,0,0,0,0,39,32,
1535793743,0,0,0,0,0,0,39,34,
1535793743,0,0,0,0,0,0,39,34,
1535793748,0,0,0,0,0,0,39,34,
1535793748,0,0,0,0,0,0,39,35,
1535793748,0,0,0,0,0,0,39,35,
1535793753,0,0,0,0,0,0,39,34,
1535793753,0,0,0,0,0,0,39,34,
1535793759,0,0,0,0,0,0,39,33,
1535793764,0,0,0,0,0,0,39,33,
1535793764,0,0,0,0,0,0,39,33,
1535793770,0,0,0,0,0,0,39,34,
1535793770,0,0,0,0,0,0,39,34,
1535793775,0,0,0,0,0,0,39,33,
1535793781,0,0,0,0,0,0,39,34,
1535793781,0,0,0,0,0,0,39,34,
1535793786,0,0,0,0,0,0,39,25,
1535793786,0,0,0,0,0,0,39,25,
1535793792,0,0,0,0,0,0,39,25,
1535793797,0,0,0,0,0,0,39,33,
1535793797,0,0,0,0,0,0,39,33,
1535793803,0,0,0,0,0,0,39,32,
1535793803,0,0,0,0,0,0,39,32,
1535793808,0,0,0,0,0,0,39,32,
1535793808,0,0,0,0,0,0,39,33,
1535793808,0,0,0,0,0,0,39,33,
1535793814,0,0,0,0,0,0,39,34,
1535793814,0,0,0,0,0,0,39,34,
1535793819,0,0,0,0,0,0,39,34,
1535793825,0,0,0,0,0,0,39,34,
1535793825,0,0,0,0,0,0,39,34,
1535793830,0,0,0,0,0,0,39,34,
1535793830,0,0,0,0,0,0,39,34,
1535793835,0,0,0,0,0,0,39,34,
1535793841,0,0,0,0,0,0,39,33,
1535793841,0,0,0,0,0,0,39,33,
1535793846,0,0,0,0,0,0,39,34,
1535793846,0,0,0,0,0,0,39,34,
1535793852,0,0,0,0,0,0,39,34,
1535793852,0,0,0,0,0,0,39,33,
1535793852,0,0,0,0,0,0,39,33,
1535793863,0,0,0,0,0,0,39,33,
1535793863,0,0,0,0,0,0,39,33,
1535793868,0,0,0,0,0,0,39,33,
1535793868,0,0,0,0,0,0,39,34,
1535793868,0,0,0,0,0,0,39,34,
1535793874,0,0,0,0,0,0,39,34,
1535793874,0,0,0,0,0,0,39,34,
1535793879,0,0,0,0,0,0,39,33,
1535793885,0,0,0,0,0,0,39,34,
1535793885,0,0,0,0,0,0,39,34,
1535793890,0,0,0,0,0,0,39,34,
1535793890,0,0,0,0,0,0,39,34,
1535793890,0,0,0,0,0,0,39,32,
1535793901,0,0,0,0,0,0,39,34,
1535793901,0,0,0,0,0,0,39,34,
