time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1530844592,24,0,2434,2434,1,24,0,2630,2630,1,23,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2469,1,
1530844597,25,0,2434,2434,1,23,0,2630,2630,1,24,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2469,1,
1530844603,25,0,2434,2434,1,23,0,2630,2630,1,24,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2469,1,
1530844603,25,0,2434,2434,1,24,0,2630,2629,1,24,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2470,1,
1530844608,25,0,2434,2434,1,24,0,2630,2629,1,24,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2470,1,
1530844608,25,0,2434,2434,1,24,0,2630,2629,1,23,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2470,1,
1530844608,25,0,2434,2434,1,25,0,2630,2629,1,24,0,617,616,1,24,0,1198,1198,1,24,0,2048,2048,1,24,0,2470,2470,1,
