time recorded,serial commands received ,gps received,serial bad reads,serial connect faults,ada commands received,ada command faults,ada writes received,ada write faults,ada reads received,ada read faults,ada sd fault,ada connect fault,ada bme01 fault,ada bme02 fault,ada eng status msg,bbox commands received,bbx command faults,bbx writes received,bbox write faults,bbox reads received,bbox read faults,bbox sd fault,bbox connectionf ault,bbox eng status msg,ada commands,bbox commands,cam commands,arm commands,network commands
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,,1,1,0,0,0,
1530844586,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0,0,1,0,1,1,0,0,,2,2,0,0,0,
1530844586,0,0,0,0,0,0,1,0,1,2,0,0,0,0,,0,0,1,0,1,2,0,0,,1,1,0,0,0,
1530844592,0,0,0,0,0,0,2,0,2,2,0,0,0,0,,0,0,2,0,2,2,0,0,,1,1,0,0,0,
1530844597,0,0,0,0,0,0,3,0,3,2,0,0,0,0,,0,0,3,0,3,2,0,0,,2,2,0,0,0,
1530844603,0,0,1,0,0,0,4,0,4,2,0,0,0,0,,0,0,4,0,4,2,0,0,,1,1,0,0,0,
1530844608,0,0,1,0,0,0,5,0,5,2,0,0,0,0,,0,0,5,0,5,2,0,0,,1,1,0,0,0,
1530844608,0,0,1,0,0,0,6,0,6,2,0,0,0,0,,0,0,6,0,6,2,0,0,,2,2,0,0,0,
1530844614,0,0,1,0,0,0,7,0,7,2,0,0,0,0,,0,0,7,0,7,2,0,0,,1,1,0,0,0,
1530844619,0,0,1,0,0,0,8,0,8,2,0,0,0,0,,0,0,8,0,8,2,0,0,,1,1,0,0,0,
1530844625,0,0,1,0,0,0,9,0,9,2,0,0,0,0,,0,0,9,0,9,2,0,0,,2,2,0,0,0,
1530844630,0,0,1,0,0,0,10,0,10,2,0,0,0,0,,0,0,10,0,10,2,0,0,,1,1,0,0,0,
1530844636,0,0,1,0,0,0,11,0,11,2,0,0,0,0,,0,0,11,0,11,2,0,0,,1,1,0,0,0,
1530844641,0,0,1,0,0,0,12,0,12,2,0,0,0,0,,0,0,12,0,12,2,0,0,,2,2,0,0,0,
1530844647,0,0,1,0,0,0,13,0,13,2,0,0,0,0,,0,0,13,0,13,2,0,0,,1,1,0,0,0,
